geoid,rate
13299,13901
13301,2125
13303,7230
13305,10066
13307,1062
13309,2012
13311,11316
13313,34575
13315,2742
13317,4006
13319,3313
13321,7924
15001,65048
15003,309602
15005,54
15007,22405
15009,53463
16001,157286
16003,1592
16005,30394
16007,2346
16009,3668
16011,14698
16013,8924
16015,2970
16017,17193
16019,36686
16021,4265
16023,1009
16025,435
16027,65807
16029,2606
16031,7732
16033,274
16035,3648
16037,1767
16039,9785
16041,4236
16043,4477
16045,6311
16047,5327
16049,6583
16051,8102
16053,7624
16055,56421
16057,15080
16059,3721
16061,1625
16063,1624
16065,10305
16067,7148
16069,16096
16071,1582
16073,3929
16075,8147
16077,2563
16079,5712
16081,3605
16083,29017
16085,3188
16087,3812
17001,26883
17003,2644
17005,6148
17007,18129
17009,2140
17011,14023
17013,2063
17015,6617
17017,5200
17019,79912
17021,14013
17023,6647
17025,5525
17027,13866
17029,21063
17031,1942959
17033,7620
17035,4310
17037,37269
17039,6840
17041,7618
17043,338083
17045,7716
17047,2785
17049,13330
17051,7761
17053,5626
17055,16257
17057,14375
17059,2408
17061,5458
17063,18492
17065,3473
17067,7862
17069,1677
17071,3094
17073,20170
17075,11829
17077,23390
17079,3781
17081,15277
17083,8830
17085,9542
17087,4407
17089,172479
17091,40880
17093,38516
17095,21301
17097,242426
17099,44242
17101,5015
17103,13517
17105,14464
17107,10711
17109,12129
17111,109491
17113,65346
17115,44915
17117,18982
17119,107111
17121,15783
17123,4993
17125,6116
17127,5987
17129,5144
17131,6607
17133,12699
17135,10985
17137,13825
17139,5799
17141,20731
17143,76133
17145,8025
17147,6645
17149,6677
17151,1593
17153,2334
17155,2453
17157,11895
17159,6503
17161,60391
17163,102267
17165,9955
17167,82885
17169,3000
17171,2124
17173,9044
17175,2391
17177,19299
17179,54288
17181,6712
17183,31531
17185,4871
17187,6829
17189,5777
17191,7043
17193,6171
17195,23548
17197,223640
17199,26796
17201,113912
17203,14350
18001,12183
18003,140536
18005,30518
18007,3429
18009,5228
18011,22924
18013,6095
18015,7793
18017,14555
18019,42974
18021,10345
18023,11643
18025,4101
18027,11452
18029,18634
18031,10074
18033,16247
18035,45761
18037,16190
18039,70439
18041,9336
18043,29088
18045,6951
18047,8848
18049,7963
18051,13102
18053,26477
18055,12798
18057,108253
18059,26340
18061,14604
18063,54652
18065,18010
18067,34413
18069,14480
18071,16614
18073,11996
18075,8117
18077,12694
18079,10607
18081,53270
18083,14779
18085,29586
18087,11719
18089,183314
18091,43004
18093,18494
18095,51274
18097,363558
18099,17324
18101,4201
18103,13164
18105,54165
18107,14637
18109,25609
18111,5401
18113,18101
18115,2389
18117,7648
18119,8553
18121,5995
18123,7282
18125,4994
18127,62103
18129,10098
18131,5184
18133,12649
18135,10529
18137,10921
18139,6942
18141,102005
18143,8962
18145,17193
18147,7964
18149,8789
18151,13485
18153,7639
18155,4071
18157,67756
18159,6394
18161,2963
18163,74217
18165,6538
18167,40315
18169,12901
18171,3305
18173,22883
18175,10542
18177,27168
18179,10831
18181,9513
18183,13152
19001,3229
19003,1718
19005,6048
19007,5481
19009,2659
19011,10154
19013,52410
19015,10759
19017,9365
19019,8268
19021,7635
19023,6207
19025,4261
19027,8547
19029,6080
19031,7620
19033,19519
19035,5334
19037,5312
19039,3744
19041,7146
19043,7608
19045,20067
19047,6355
19049,27593
19051,3165
19053,3144
19055,6973
19057,16741
19059,7804
19061,37891
19063,4145
19065,8556
19067,6901
19069,4258
19071,2954
19073,3927
19075,5183
19077,4514
19079,6384
19081,4673
19083,6973
19085,5973
19087,7623
19089,3867
19091,4190
19093,3101
19095,6819
19097,8433
19099,14437
19101,6913
19103,55426
19105,8171
19107,4347
19109,6723
19111,14412
19113,87318
19115,4311
19117,3678
19119,4496
19121,6225
19123,9023
19125,12978
19127,15297
19129,5399
19131,4358
19133,4043
19135,3326
19137,4610
19139,16345
19141,6004
19143,2670
19145,6294
19147,3977
19149,9995
19151,3197
19153,177049
19155,36683
19157,7351
19159,2030
19161,4406
19163,67709
19165,5066
19167,11765
19169,35901
19171,6790
19173,2744
19175,5337
19177,2944
19179,14493
19181,18009
19183,8938
19185,2596
19187,15155
19189,4580
19191,8248
19193,38656
19195,3180
19197,5495
20001,5306
20003,3280
20005,6033
20007,1981
20009,11306
20011,5660
20013,4102
20015,24273
20017,1110
20019,1557
20021,7988
20023,1262
20025,927
20027,3377
20029,3964
20031,3569
20033,784
20035,13688
20037,15065
20039,1473
20041,7822
20043,3109
20045,43729
20047,1274
20049,1256
20051,11847
20053,2585
20055,12600
20057,11205
20059,9830
20061,12723
20063,1190
20065,1201
20067,2707
